aid,areaid,areaid,cityid,areaname,url
1,1,1,1,Aberdeen Bazaar,aberdeen-bazaar
2,2,2,1,Bidhabad Village,bidhabad-village
3,3,3,1,Chidiyatapu,chidiyatapu
4,4,4,1,Corbyns Cove,corbyns-cove
5,5,5,1,Dollygunj,dollygunj
6,6,6,1,Ferrurgunj,ferrurgunj
7,7,7,1,Goalghar,goalghar
8,8,8,1,Goodwill Estate,goodwill-estate
9,9,9,1,Junglighat,junglighat
10,10,10,1,Marine Hill,marine-hill
11,11,11,1,Phoenix Bay,phoenix-bay
12,12,12,1,South Point,south-point
13,13,13,1,        Gachibowli,gachibowli
14,14,14,2,Rtc Complex Adoni ,rtc-complex-adoni
15,15,15,2,Adoni-town ,adoni-town
16,16,16,2,S.K.D.Nagar ,s-k-d-nagar
17,17,17,2,Bhar Peta Adoni ,bhar-peta-adoni
18,18,18,2,Adoni ,adoni
19,19,19,2,Dibbanakallu ,dibbanakallu
20,20,20,2,Musanahalli ,musanahalli
21,21,21,2,Adoni Arts College ,adoni-arts-college
22,22,22,2,Isvi ,isvi
23,23,23,2,Arekallu ,arekallu
24,24,24,2,Basapuram ,basapuram
25,25,25,2,Kamavaram ,kamavaram
26,26,26,2,Madhire ,madhire
27,27,27,2,Baichigeri ,baichigeri
28,28,28,2,Kammarchedu ,kammarchedu
29,29,29,2,G.Hosanahalli ,g-hosanahalli
30,30,30,2,Peddathumbalam ,peddathumbalam
31,31,31,2,Dhanapuram ,dhanapuram
32,32,32,2,Manekurthi ,manekurthi
33,33,33,3,Harischandrapuram ,harischandrapuram
34,34,34,3,Muthayapalem ,muthayapalem
35,35,35,3,Dharanikota ,dharanikota
36,36,36,3,Pedamadduru ,pedamadduru
37,37,37,3,Amaravathi ,amaravathi
38,38,38,3,Vykuntapuram ,vykuntapuram
39,39,39,3,Malladi ,malladi
40,40,40,3,Didugu ,didugu
41,41,41,4,Rudrampeta,rudrampeta
42,42,42,4,Hindupur,hindupur
43,43,43,4,Kandukuru,kandukuru
44,44,44,4,Podaralla,podaralla
45,45,45,4,Kasapuram - Gooty Road,kasapuram-gooty-road
46,46,46,4,Guntakal,guntakal
47,47,47,4,Kalyandurgam Road,kalyandurgam-road
48,48,48,4,Vijayanagar Colony,vijayanagar-colony
49,49,49,4,Puttaparthi,puttaparthi
50,50,50,4,Gooty,gooty
51,51,51,4,Palasamudram,palasamudram
52,52,52,4,Penukonda,penukonda
53,53,53,4,Tirupati Road,tirupati-road
54,54,54,4,Tadipatri,tadipatri
55,55,55,4,Prasannaya Palli,prasannaya-palli
56,56,56,4,Kadiri,kadiri
57,57,57,4,Mudigubba,mudigubba
58,58,58,4,Kovur Nagar,kovur-nagar
59,59,59,4,Adarsh Nagar,adarsh-nagar
60,60,60,4,Bukkapatnam,bukkapatnam
61,61,61,4,Ram Nagar,ram-nagar
62,62,62,4,Rapthadu,rapthadu
63,63,63,4,Papampeta,papampeta
64,64,64,4,Somanath Nagar,somanath-nagar
65,65,65,4,Bukkaraya Samudram,bukkaraya-samudram
66,66,66,4,Gulzarpet,gulzarpet
67,67,67,4,Ferrer Nagar,ferrer-nagar
68,68,68,4,Lenin Nagar,lenin-nagar
69,69,69,4,Maruthi Nagar,maruthi-nagar
70,70,70,4,Alur,alur
71,71,71,4,Pamidi,pamidi
72,72,72,4,Pilligundla,pilligundla
73,73,73,4,Singanamala,singanamala
74,74,74,4,Aravinda Nagar,aravinda-nagar
75,75,75,4,Rangaswamy Nagar,rangaswamy-nagar
76,76,76,4,Srinivas Nagar,srinivas-nagar
77,77,77,4,Rayadurgam,rayadurgam
78,78,78,4,Tapovanam,tapovanam
79,79,79,4,Chilamathur,chilamathur
80,80,80,4,BrahmanaPalli,brahmanapalli
81,81,81,4,Lepakshi,lepakshi
82,82,82,4,Sai Nagar,sai-nagar
83,83,83,4,Kuderu,kuderu
84,84,84,4,Housing board colony,housing-board-colony
85,85,85,4,Rachanapalle,rachanapalle
86,86,86,4,Thengedukunta,thengedukunta
87,87,87,5,Someswaralayam,someswaralayam
88,88,88,5,Bhimavaram Railway Colony,bhimavaram-railway-colony
89,89,89,5,Bhimavaram,bhimavaram
90,90,90,5,Bhimavaram Bazar,bhimavaram-bazar
91,91,91,5,D.N.R.College,d-n-r-college
92,92,92,5,Sreeramapuram,sreeramapuram
93,93,93,5,Sivaraopeta,sivaraopeta
94,94,94,5,S.R.K.R .Engg.college,s-r-k-r-engg-college
95,95,95,5,Kopalle,kopalle
96,96,96,5,Palakoderu,palakoderu
97,97,97,5,Vissakoderu ,vissakoderu
98,98,98,6,Gottipadu,gottipadu
99,99,99,6,Chilakaluripet Bazar,chilakaluripet-bazar
100,100,100,6,Manukondavaripalem,manukondavaripalem
101,101,101,6,Komaravallipadu,komaravallipadu
102,102,102,6,Annavaram,annavaram
103,103,103,6,Pasumarru,pasumarru
104,104,104,6,Purushothapatnam,purushothapatnam
105,105,105,6,Subbaiah Thota,subbaiah-thota
106,106,106,6,Pothavaram,pothavaram
107,107,107,6,Maddirala,maddirala
108,108,108,6,Chilakaluripet,chilakaluripet
109,109,109,6,Edavalli,edavalli
110,110,110,6,Uppalapadu,uppalapadu
111,111,111,7,Kuppam,kuppam
112,112,112,7,Thottambedu,thottambedu
113,113,113,7,Madanapalle,madanapalle
114,114,114,7,Mittoor,mittoor
115,115,115,7,Yadamari,yadamari
116,116,116,7,Balajinagar,balajinagar
117,117,117,7,Santhapet,santhapet
118,118,118,7,Yerpedu,yerpedu
119,119,119,7,Murukambattu,murukambattu
120,120,120,7,Penumur,penumur
121,121,121,7,Kambhamvaripalle,kambhamvaripalle
122,122,122,7,Srikalahasti,srikalahasti
123,123,123,7,Kalagatur,kalagatur
124,124,124,7,Nagari,nagari
125,125,125,7,KR Palli,kr-palli
126,126,126,7,Ram Nagar Colony,ram-nagar-colony
127,127,127,7,Usha Nagar Colony,usha-nagar-colony
128,128,128,7,Greamspet,greamspet
129,129,129,7,Punganur,punganur
130,130,130,7,Thotapalyam,thotapalyam
131,131,131,7,Puttur,puttur
132,132,132,7,Kalikiri,kalikiri
133,133,133,7,Thenabanda Dargah,thenabanda-dargah
134,134,134,7,Rangampet,rangampet
135,135,135,7,Kattamanchi,kattamanchi
136,136,136,7,Kanipakam,kanipakam
137,137,137,7,Bangarupalem,bangarupalem
138,138,138,7,Chandragiri,chandragiri
139,139,139,7,Puttur road,puttur-road
140,140,140,7,Nagalapuram,nagalapuram
141,141,141,7,Kothakota,kothakota
142,142,142,7,Renigunta,renigunta
143,143,143,7,Palasamudram,palasamudram
144,144,144,7,Alimelu Manga Puram,alimelu-manga-puram
145,145,145,8,Dharmavaram Bazar ,dharmavaram-bazar
146,146,146,8,Dharmavaram ,dharmavaram
147,147,147,8,Darsimala ,darsimala
148,148,148,8,Ravulacheruvu ,ravulacheruvu
149,149,149,8,Sangala ,sangala
150,150,150,8,Gotluru ,gotluru
151,151,151,8,Subbaraopeta ,subbaraopeta
