localityid,locality_city,name,url
1,1,Aberdeen Bazaar,aberdeen-bazaar
2,1,Bidhabad Village,bidhabad-village
3,1,Chidiyatapu,chidiyatapu
4,1,Corbyns Cove,corbyns-cove
5,1,Dollygunj,dollygunj
6,1,Ferrurgunj,ferrurgunj
7,1,Goalghar,goalghar
8,1,Goodwill Estate,goodwill-estate
9,1,Junglighat,junglighat
10,1,Marine Hill,marine-hill
11,1,Phoenix Bay,phoenix-bay
12,1,South Point,south-point
13,1,        Gachibowli,gachibowli
14,2,Rtc Complex Adoni ,rtc-complex-adoni
15,2,Adoni-town ,adoni-town
16,2,S.K.D.Nagar ,s-k-d-nagar
17,2,Bhar Peta Adoni ,bhar-peta-adoni
18,2,Adoni ,adoni
19,2,Dibbanakallu ,dibbanakallu
20,2,Musanahalli ,musanahalli
21,2,Adoni Arts College ,adoni-arts-college
22,2,Isvi ,isvi
23,2,Arekallu ,arekallu
24,2,Basapuram ,basapuram
25,2,Kamavaram ,kamavaram
26,2,Madhire ,madhire
27,2,Baichigeri ,baichigeri
28,2,Kammarchedu ,kammarchedu
29,2,G.Hosanahalli ,g-hosanahalli
30,2,Peddathumbalam ,peddathumbalam
31,2,Dhanapuram ,dhanapuram
32,2,Manekurthi ,manekurthi
33,3,Harischandrapuram ,harischandrapuram
34,3,Muthayapalem ,muthayapalem
35,3,Dharanikota ,dharanikota
36,3,Pedamadduru ,pedamadduru
37,3,Amaravathi ,amaravathi
38,3,Vykuntapuram ,vykuntapuram
39,3,Malladi ,malladi
40,3,Didugu ,didugu
41,4,Rudrampeta,rudrampeta
42,4,Hindupur,hindupur
43,4,Kandukuru,kandukuru
44,4,Podaralla,podaralla
45,4,Kasapuram - Gooty Road,kasapuram-gooty-road
46,4,Guntakal,guntakal
47,4,Kalyandurgam Road,kalyandurgam-road
48,4,Vijayanagar Colony,vijayanagar-colony
49,4,Puttaparthi,puttaparthi
50,4,Gooty,gooty
51,4,Palasamudram,palasamudram
52,4,Penukonda,penukonda
53,4,Tirupati Road,tirupati-road
54,4,Tadipatri,tadipatri
55,4,Prasannaya Palli,prasannaya-palli
56,4,Kadiri,kadiri
57,4,Mudigubba,mudigubba
58,4,Kovur Nagar,kovur-nagar
59,4,Adarsh Nagar,adarsh-nagar
60,4,Bukkapatnam,bukkapatnam
61,4,Ram Nagar,ram-nagar
62,4,Rapthadu,rapthadu
63,4,Papampeta,papampeta
64,4,Somanath Nagar,somanath-nagar
65,4,Bukkaraya Samudram,bukkaraya-samudram
66,4,Gulzarpet,gulzarpet
67,4,Ferrer Nagar,ferrer-nagar
68,4,Lenin Nagar,lenin-nagar
69,4,Maruthi Nagar,maruthi-nagar
70,4,Alur,alur
71,4,Pamidi,pamidi
72,4,Pilligundla,pilligundla
73,4,Singanamala,singanamala
74,4,Aravinda Nagar,aravinda-nagar
75,4,Rangaswamy Nagar,rangaswamy-nagar
76,4,Srinivas Nagar,srinivas-nagar
77,4,Rayadurgam,rayadurgam
78,4,Tapovanam,tapovanam
79,4,Chilamathur,chilamathur
80,4,BrahmanaPalli,brahmanapalli
81,4,Lepakshi,lepakshi
82,4,Sai Nagar,sai-nagar
83,4,Kuderu,kuderu
84,4,Housing board colony,housing-board-colony
85,4,Rachanapalle,rachanapalle
86,4,Thengedukunta,thengedukunta
87,5,Someswaralayam,someswaralayam
88,5,Bhimavaram Railway Colony,bhimavaram-railway-colony
89,5,Bhimavaram,bhimavaram
90,5,Bhimavaram Bazar,bhimavaram-bazar
91,5,D.N.R.College,d-n-r-college
92,5,Sreeramapuram,sreeramapuram
93,5,Sivaraopeta,sivaraopeta
94,5,S.R.K.R .Engg.college,s-r-k-r-engg-college
95,5,Kopalle,kopalle
96,5,Palakoderu,palakoderu
97,5,Vissakoderu ,vissakoderu
98,6,Gottipadu,gottipadu
99,6,Chilakaluripet Bazar,chilakaluripet-bazar
100,6,Manukondavaripalem,manukondavaripalem
101,6,Komaravallipadu,komaravallipadu
102,6,Annavaram,annavaram
103,6,Pasumarru,pasumarru
104,6,Purushothapatnam,purushothapatnam
105,6,Subbaiah Thota,subbaiah-thota
106,6,Pothavaram,pothavaram
107,6,Maddirala,maddirala
108,6,Chilakaluripet,chilakaluripet
109,6,Edavalli,edavalli
110,6,Uppalapadu,uppalapadu
111,7,Kuppam,kuppam
112,7,Thottambedu,thottambedu
113,7,Madanapalle,madanapalle
114,7,Mittoor,mittoor
115,7,Yadamari,yadamari
116,7,Balajinagar,balajinagar
117,7,Santhapet,santhapet
118,7,Yerpedu,yerpedu
119,7,Murukambattu,murukambattu
120,7,Penumur,penumur
121,7,Kambhamvaripalle,kambhamvaripalle
122,7,Srikalahasti,srikalahasti
123,7,Kalagatur,kalagatur
124,7,Nagari,nagari
125,7,KR Palli,kr-palli
126,7,Ram Nagar Colony,ram-nagar-colony
127,7,Usha Nagar Colony,usha-nagar-colony
128,7,Greamspet,greamspet
129,7,Punganur,punganur
130,7,Thotapalyam,thotapalyam
131,7,Puttur,puttur
132,7,Kalikiri,kalikiri
133,7,Thenabanda Dargah,thenabanda-dargah
134,7,Rangampet,rangampet
135,7,Kattamanchi,kattamanchi
136,7,Kanipakam,kanipakam
137,7,Bangarupalem,bangarupalem
138,7,Chandragiri,chandragiri
139,7,Puttur road,puttur-road
140,7,Nagalapuram,nagalapuram
141,7,Kothakota,kothakota
142,7,Renigunta,renigunta
143,7,Palasamudram,palasamudram
144,7,Alimelu Manga Puram,alimelu-manga-puram
145,8,Dharmavaram Bazar ,dharmavaram-bazar
146,8,Dharmavaram ,dharmavaram
147,8,Darsimala ,darsimala
148,8,Ravulacheruvu ,ravulacheruvu
